FreeCAD 0.17, Libs: 0.17RUnknown
         16482684 function calls (14940014 primitive calls) in 6.992 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 python.py:3(<module>)
      183    0.000    0.000    0.009    0.000 __init__.py:1416(get_metadata)
       82    0.000    0.000    0.012    0.000 __init__.py:1901(get_metadata_lines)
     1182    0.000    0.000    0.000    0.000 facts.py:537(<genexpr>)
        1    0.000    0.000    0.026    0.026 lambdify.py:4(<module>)
        1    0.000    0.000    0.001    0.001 DFA.py:5(<module>)
        1    0.000    0.000    0.001    0.001 newbytes.py:6(<module>)
      480    0.000    0.000    0.001    0.000 ntpath.py:56(isabs)
     1504    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.028    0.028 groundtypes.py:1(<module>)
        2    0.000    0.000    0.001    0.000 base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:48(<module>)
        1    0.000    0.000    0.001    0.001 line.py:18(<module>)
        5    0.000    0.000    0.001    0.000 core.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Trees.py:9(<module>)
       44    0.000    0.000    0.000    0.000 polyhedron.py:508(rotate)
        1    0.000    0.000    0.000    0.000 ATNConfigSet.py:11(<module>)
        2    0.000    0.000    0.000    0.000 matrices.py:1(<module>)
        1    0.000    0.000    0.000    0.000 radsimp.py:1(<module>)
    50/10    0.000    0.000    0.014    0.001 argparse.py:205(format_help)
      363    0.000    0.000    0.030    0.000 posixpath.py:379(realpath)
      371    0.000    0.000    0.003    0.000 posixpath.py:365(abspath)
        1    0.000    0.000    0.000    0.000 common.py:5(<module>)
      676    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
      705    0.000    0.000    0.000    0.000 inspect.py:208(iscode)
        2    0.000    0.000    4.009    2.005 core.py:278(subtract)
        1    0.000    0.000    0.006    0.006 tokenize2.py:2(<module>)
       69    0.000    0.000    0.000    0.000 pyparsing.py:2412(__init__)
        1    0.000    0.000    0.001    0.001 io.py:4(<module>)
        1    0.000    0.000    0.005    0.005 multiarray.py:7(<module>)
        1    0.000    0.000    0.209    0.209 Writer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 libmpc.py:3(<module>)
     1768    0.000    0.000    0.000    0.000 version.py:48(<lambda>)
        1    0.000    0.000    0.000    0.000 facts.py:49(<module>)
        1    0.000    0.000    0.000    0.000 exprtools.py:1(<module>)
        9    0.000    0.000    0.000    0.000 {posix.getcwd}
        1    0.000    0.000    0.222    0.222 solveset.py:12(<module>)
        1    0.000    0.000    0.001    0.001 from_dict.py:42(style_from_dict)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
       68    0.000    0.000    0.000    0.000 Transition.py:88(__init__)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
        2    0.000    0.000    0.002    0.001 pkgutil.py:480(extend_path)
     2499    0.000    0.000    0.000    0.000 permutations.py:1962(<genexpr>)
        1    0.000    0.000    0.000    0.000 release.py:136(get_info)
       18    0.000    0.000    0.000    0.000 __init__.py:237(__init__)
        1    0.000    0.000    0.000    0.000 {posix.popen}
        1    0.000    0.000    0.001    0.001 products.py:1(<module>)
        1    0.000    0.000    0.001    0.001 relational.py:1(<module>)
        1    0.000    0.000    0.000    0.000 modularity_max.py:17(<module>)
        1    0.000    0.000    0.244    0.244 singularities.py:16(<module>)
      466    0.000    0.000    0.000    0.000 core.py:70(__init__)
      404    0.000    0.000    0.000    0.000 sre_parse.py:75(opengroup)
      284    0.000    0.000    0.001    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.000    0.000 sysinfo.py:4(<module>)
        1    0.000    0.000    0.000    0.000 mutable_ndim_array.py:1(<module>)
        1    0.000    0.000    0.000    0.000 vf2userfunc.py:32(<module>)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
      278    0.000    0.000    0.001    0.000 ATNConfig.py:110(__init__)
   131/65    0.000    0.000    0.004    0.000 pyparsing.py:3363(copy)
        1    0.000    0.000    0.000    0.000 InputStream.py:6(<module>)
        1    0.000    0.000    0.010    0.010 decorator.py:15(threaded_factory)
1620/1571    0.000    0.000    0.000    0.000 {iter}
       48    0.000    0.000    0.004    0.000 _abcoll.py:548(update)
        2    0.000    0.000    0.001    0.001 factorials.py:1(<module>)
      334    0.000    0.000    0.000    0.000 functools.py:39(wraps)
     1274    0.000    0.000    0.000    0.000 perm_groups.py:131(<genexpr>)
        1    0.000    0.000    0.001    0.001 __init__.py:20(<module>)
      500    0.000    0.000    0.000    0.000 basic.py:1956(__init__)
     2762    0.000    0.000    0.000    0.000 __init__.py:2085(__bool__)
    102/2    0.000    0.000    0.001    0.000 pyparsing.py:1370(_parseNoCache)
      409    0.000    0.000    0.001    0.000 ATNState.py:146(__init__)
        1    0.000    0.000    0.001    0.001 profiledir.py:2(<module>)
     1189    0.000    0.000    0.001    0.000 libintmath.py:83(python_bitcount)
    91/39    0.000    0.000    0.002    0.000 facts.py:329(_process_rule)
     1147    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 newrange.py:19(<module>)
        1    0.000    0.000    0.004    0.004 auto_suggest.py:8(<module>)
        1    0.000    0.000    0.001    0.001 dense_ndim_array.py:1(<module>)
        1    0.000    0.000    0.000    0.000 partitions_.py:1(<module>)
        1    0.000    0.000    0.000    0.000 strdispatch.py:2(<module>)
       20    0.000    0.000    0.001    0.000 gettext.py:497(find)
      496    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
        1    0.000    0.000    0.001    0.001 ask.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _version.py:7(<module>)
        1    0.000    0.000    0.001    0.001 branchings.py:10(<module>)
        1    0.000    0.000    0.000    0.000 compatibility.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pickleshare.py:34(<module>)
      124    0.000    0.000    0.000    0.000 traitlets.py:651(tag)
      367    0.000    0.000    0.000    0.000 posixpath.py:112(basename)
        1    0.000    0.000    0.001    0.001 libintmath.py:7(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:2(<module>)
      260    0.000    0.000    0.040    0.000 __init__.py:2761(_get_version)
      500    0.000    0.000    0.005    0.000 containers.py:146(<lambda>)
     69/6    0.000    0.000    0.001    0.000 LL1Analyzer.py:107(_LOOK)
        1    0.000    0.000    0.000    0.000 dispatcher.py:1(<module>)
       44    0.000    0.000    0.000    0.000 argparse.py:154(__init__)
        1    0.000    0.000    0.000    0.000 galoistools.py:1(<module>)
      297    0.000    0.000    0.004    0.000 __init__.py:1594(_has)
        1    0.000    0.000    0.023    0.023 parser.py:5(<module>)
    61/11    0.000    0.000    0.004    0.000 pyparsing.py:3288(leaveWhitespace)
        1    0.000    0.000    0.001    0.001 __init__.py:1041(_rc_params_in_file)
      949    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
        1    0.000    0.000    0.000    0.000 realfield.py:1(<module>)
       91    0.000    0.000    0.000    0.000 traitlets.py:1627(__init__)
     1776    0.000    0.000    0.000    0.000 version.py:54(<lambda>)
  228/154    0.000    0.000    0.001    0.000 pyparsing.py:154(_ustr)
        1    0.000    0.000    0.000    0.000 ParserATNSimulator.py:234(<module>)
        1    0.000    0.000    0.001    0.001 plot_implicit.py:24(<module>)
     1493    0.000    0.000    0.000    0.000 boolalg.py:313(__nonzero__)
      155    0.000    0.000    0.000    0.000 decorator.py:180(public)
        1    0.000    0.000    0.000    0.000 field.py:1(<module>)
      115    0.000    0.000    0.000    0.000 iterables.py:1957(<genexpr>)
        1    0.000    0.000    0.000    0.000 evaluate.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fourier.py:1(<module>)
       79    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        2    0.000    0.000    0.001    0.000 TwistedBox.py:1(<module>)
      248    0.000    0.000    0.000    0.000 {method '__deepcopy__' of 'numpy.generic' objects}
      328    0.000    0.000    0.002    0.000 __init__.py:1317(safe_name)
        1    0.000    0.000    0.001    0.001 terminal.py:10(<module>)
        1    0.000    0.000    0.000    0.000 subsets.py:1(<module>)
        1    0.000    0.000    0.001    0.001 get_terminal_size.py:5(<module>)
        1    0.000    0.000    0.000    0.000 zipfile.py:456(_GenerateCRCTable)
      194    0.000    0.000    0.000    0.000 {repr}
        1    0.000    0.000    0.003    0.003 version.py:4(<module>)
        1    0.000    0.000    0.007    0.007 facts.py:98(deduce_alpha_implications)
        1    0.000    0.000    0.001    0.001 processors.py:7(<module>)
      349    0.000    0.000    0.000    0.000 warnings.py:343(__init__)
      128    0.000    0.000    0.001    0.000 textwrap.py:115(__init__)
      394    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       84    0.000    0.000    0.001    0.000 pyparsing.py:3390(__init__)
       70    0.000    0.000    0.001    0.000 textwrap.py:374(dedent)
      205    0.000    0.000    0.001    0.000 Transition.py:69(__init__)
      249    0.000    0.000    0.000    0.000 StringIO.py:208(write)
        1    0.000    0.000    0.000    0.000 algebraicconnectivity.py:92(_CholeskySolver)
        1    0.000    0.000    0.001    0.001 vt100_input.py:3(<module>)
      254    0.000    0.000    0.000    0.000 sre_parse.py:190(__init__)
       40    0.000    0.000    0.000    0.000 gettext.py:205(_expand_lang)
        1    0.000    0.000    0.000    0.000 integerring.py:1(<module>)
       36    0.000    0.000    0.000    0.000 pyparsing.py:2390(__init__)
        1    0.000    0.000    0.000    0.000 ErrorStrategy.py:6(<module>)
       24    0.000    0.000    0.001    0.000 argparse.py:388(_format_actions_usage)
      560    0.000    0.000    0.000    0.000 {method 'split' of 'unicode' objects}
      265    0.000    0.000    0.000    0.000 IntervalSet.py:13(__init__)
        1    0.000    0.000    0.000    0.000 pythonfinitefield.py:1(<module>)
       87    0.000    0.000    0.001    0.000 traitlets.py:737(__init__)
       30    0.000    0.000    0.001    0.000 argparse.py:1186(__init__)
        1    0.000    0.000    0.001    0.001 completion.py:3(<module>)
      485    0.000    0.000    0.000    0.000 urlparse.py:332(<genexpr>)
        1    0.000    0.000    0.022    0.022 facts.py:409(__init__)
      485    0.000    0.000    0.000    0.000 urllib.py:1216(<genexpr>)
   121/59    0.000    0.000    0.003    0.000 pyparsing.py:3341(copy)
       34    0.000    0.000    0.001    0.000 argparse.py:1267(add_argument)
        1    0.000    0.000    0.000    0.000 xmlbuilder.py:1(<module>)
      130    0.000    0.000    0.000    0.000 token.py:35(__getattr__)
        6    0.000    0.000    0.001    0.000 ATN.py:44(nextTokensInContext)
     1772    0.000    0.000    0.000    0.000 copy.py:198(_deepcopy_atomic)
        1    0.000    0.000    0.000    0.000 polynomialring.py:1(<module>)
        1    0.000    0.000    0.002    0.002 sparse6.py:23(<module>)
        1    0.000    0.000    0.021    0.021 base64mime.py:25(<module>)
        1    0.000    0.000    0.000    0.000 lexers.py:4(<module>)
        1    0.000    0.000    0.001    0.001 pydoc.py:36(<module>)
      128    0.000    0.000    0.008    0.000 textwrap.py:343(wrap)
       82    0.000    0.000    0.000    0.000 __init__.py:1893(_warn_on_replacement)
      143    0.000    0.000    0.000    0.000 {method 'decode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 gmpyfinitefield.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pde.py:34(<module>)
        1    0.000    0.000    0.000    0.000 process.py:35(<module>)
        1    0.000    0.000    0.001    0.001 urlparse.py:29(<module>)
  254/130    0.000    0.000    0.001    0.000 pyparsing.py:131(_ustr)
      408    0.000    0.000    0.000    0.000 stat.py:40(S_ISDIR)
      120    0.000    0.000    0.000    0.000 sre_parse.py:228(isname)
        4    0.000    0.000    0.000    0.000 ATNDeserializer.py:154(readRules)
       44    0.000    0.000    0.000    0.000 iterables.py:85(unflatten)
        1    0.000    0.000    0.001    0.001 _plotutils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 magics.py:1(<module>)
        1    0.000    0.000    0.001    0.001 util.py:10(<module>)
        1    0.000    0.000    0.001    0.001 factor_.py:3(<module>)
       12    0.000    0.000    0.002    0.000 pyparsing.py:2653(__init__)
      165    0.000    0.000    0.000    0.000 magic_arguments.py:73(_format_action_invocation)
        1    0.000    0.000    0.000    0.000 reportviews.py:94(<module>)
        1    0.000    0.000    0.000    0.000 exception.py:20(<module>)
        1    0.000    0.000    0.001    0.001 markers.py:4(<module>)
     1176    0.000    0.000    0.000    0.000 version.py:352(<lambda>)
       23    0.000    0.000    0.002    0.000 LexerATNSimulator.py:249(getReachableConfigSet)
      209    0.000    0.000    0.016    0.000 decorators.py:29(not_implemented_for)
      703    0.000    0.000    0.000    0.000 {method 'startswith' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 main.py:1(<module>)
    58/10    0.000    0.000    0.003    0.000 pyparsing.py:3266(leaveWhitespace)
      107    0.000    0.000    0.000    0.000 threading.py:132(__init__)
        1    0.000    0.000    0.000    0.000 _color_data.py:995(<dictcomp>)
      226    0.000    0.000    0.000    0.000 argparse.py:287(_join_parts)
       44    0.000    0.000    0.001    0.000 collections.py:50(__init__)
      115    0.000    0.000    0.000    0.000 {numpy.array}
      274    0.000    0.000    0.000    0.000 IntervalSet.py:58(addRange)
        1    0.000    0.000    0.000    0.000 combsimp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 domreg.py:3(<module>)
        2    0.000    0.000    0.001    0.001 covering.py:7(<module>)
       11    0.000    0.000    0.001    0.000 pyparsing.py:2631(__init__)
        1    0.000    0.000    0.000    0.000 assume.py:1(<module>)
       34    0.000    0.000    0.000    0.000 utils.py:80(groupby)
        1    0.000    0.000    0.000    0.000 Tree.py:10(<module>)
       82    0.000    0.000    0.001    0.000 pyparsing.py:3719(__init__)
     1774    0.000    0.000    0.000    0.000 _structures.py:33(__neg__)
      128    0.000    0.000    0.009    0.000 argparse.py:620(_split_lines)
        1    0.000    0.000    0.000    0.000 Lexer.py:11(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
     2426    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        1    0.000    0.000    0.001    0.001 zeta_functions.py:1(<module>)
  157/155    0.000    0.000    0.000    0.000 pyparsing.py:349(__init__)
        1    0.000    0.000    0.000    0.000 message.py:92(Message)
        1    0.000    0.000    0.008    0.008 specifiers.py:4(<module>)
   132/87    0.000    0.000    0.001    0.000 ast.py:188(_construct)
       53    0.000    0.000    0.000    0.000 core.py:892(__init__)
        1    0.000    0.000    0.000    0.000 boykovkolmogorov.py:13(<module>)
        1    0.000    0.000    0.000    0.000 greedy_coloring.py:11(<module>)
        3    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
       58    0.000    0.000    0.001    0.000 minidom.py:684(setAttribute)
      234    0.000    0.000    0.000    0.000 token.py:16(split)
      141    0.000    0.000    0.000    0.000 {filter}
      205    0.000    0.000    0.001    0.000 Transition.py:75(makeLabel)
      250    0.000    0.000    0.000    0.000 sre_parse.py:68(__init__)
      999    0.000    0.000    0.000    0.000 sre_parse.py:146(__setitem__)
        2    0.000    0.000    0.000    0.000 _mapping.py:14(<module>)
      209    0.000    0.000    0.000    0.000 IntervalSet.py:55(addOne)
        1    0.000    0.000    0.000    0.000 current_flow_closeness.py:9(<module>)
      128    0.000    0.000    0.007    0.000 textwrap.py:316(wrap)
        1    0.000    0.000    0.000    0.000 rl.py:4(<module>)
        1    0.000    0.000    0.000    0.000 interactiveshell.py:199(InteractiveShell)
        1    0.000    0.000    0.000    0.000 ATNState.py:67(<module>)
      404    0.000    0.000    0.000    0.000 sre_parse.py:86(closegroup)
       29    0.000    0.000    0.003    0.000 polyhedron.py:771(_string_to_perm)
       75    0.000    0.000    0.001    0.000 decorators.py:67(__sympifyit)
        1    0.000    0.000    0.000    0.000 libelefun.py:10(<module>)
        1    0.000    0.000    0.000    0.000 lgmres.py:4(<module>)
        8    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
     1617    0.000    0.000    0.000    0.000 {chr}
      453    0.000    0.000    0.000    0.000 facts.py:69(_as_pair)
   115/39    0.000    0.000    0.002    0.000 facts.py:312(process_rule)
       96    0.000    0.000    0.001    0.000 linecache.py:47(checkcache)
       42    0.000    0.000    0.001    0.000 deprecation.py:163(deprecate)
      109    0.000    0.000    0.000    0.000 argparse.py:577(_format_args)
        2    0.000    0.000    0.000    0.000 {built-in method ParseFile}
       29    0.000    0.000    0.001    0.000 permutations.py:1200(rmul)
    22/10    0.000    0.000    0.001    0.000 pyparsing.py:3525(parseImpl)
      246    0.000    0.000    0.000    0.000 __init__.py:1925(__init__)
      161    0.000    0.000    0.129    0.001 __init__.py:3268(<genexpr>)
      297    0.000    0.000    0.002    0.000 __init__.py:1406(_get_metadata_path)
      128    0.000    0.000    0.003    0.000 textwrap.py:163(_split)
       26    0.000    0.000    0.011    0.000 pyparsing.py:2779(__init__)
        1    0.000    0.000    0.000    0.000 emacs.py:2(<module>)
        1    0.000    0.000    0.000    0.000 kernighan_lin.py:13(<module>)
        1    0.000    0.000    0.001    0.001 gammazeta.py:14(<module>)
       18    0.000    0.000    0.001    0.000 __init__.py:1261(makeRecord)
       45    0.000    0.000    0.002    0.000 basic.py:266(sort_key)
        1    0.000    0.000    0.000    0.000 Recognizer.py:6(<module>)
      888    0.000    0.000    0.000    0.000 version.py:332(_parse_local_version)
      183    0.000    0.000    0.009    0.000 __init__.py:1422(get_metadata_lines)
      310    0.000    0.000    0.001    0.000 re.py:138(match)
        1    0.000    0.000    0.000    0.000 storemagic.py:11(<module>)
        1    0.000    0.000    0.000    0.000 htmlentitydefs.py:1(<module>)
        8    0.000    0.000    0.509    0.064 core.py:74(clone)
        1    0.000    0.000    0.000    0.000 densetools.py:1(<module>)
        1    0.000    0.000    0.003    0.003 doctest.py:46(<module>)
      367    0.000    0.000    0.000    0.000 SemanticContext.py:106(__hash__)
      306    0.000    0.000    0.000    0.000 LexerATNSimulator.py:287(getReachableTarget)
     1826    0.000    0.000    0.000    0.000 ATNDeserializer.py:423(checkCondition)
      260    0.000    0.000    0.004    0.000 CommonTokenStream.py:59(LT)
       89    0.000    0.000    0.000    0.000 ATNDeserializer.py:487(<lambda>)
      151    0.000    0.000    0.000    0.000 rcsetup.py:125(validate_bool)
     1262    0.000    0.000    0.000    0.000 permutations.py:930(<genexpr>)
        1    0.000    0.000    0.006    0.006 _tokenize_py2.py:33(<module>)
        1    0.000    0.000    0.000    0.000 _signatures.py:5(<module>)
        1    0.000    0.000    0.000    0.000 conflict.py:1(<module>)
       66    0.000    0.000    0.000    0.000 pyparsing.py:3697(__init__)
      161    0.000    0.000    0.000    0.000 __init__.py:668(__iter__)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        8    0.000    0.000    0.002    0.000 six.py:320(exec_)
        1    0.000    0.000    0.000    0.000 vt100_output.py:8(<module>)
       43    0.000    0.000    0.012    0.000 manualintegrate.py:38(Rule)
      507    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       20    0.000    0.000    0.001    0.000 argparse.py:292(_format_usage)
     31/1    0.000    0.000    0.001    0.001 minidom.py:792(writexml)
       14    0.000    0.000    0.000    0.000 {eval}
        1    0.000    0.000    0.001    0.001 _internal.py:6(<module>)
       11    0.000    0.000    0.000    0.000 decorator.py:95(__init__)
       54    0.000    0.000    0.000    0.000 _internal.py:840(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 misc.py:10(<module>)
        1    0.000    0.000    0.000    0.000 SemanticContext.py:14(<module>)
      128    0.000    0.000    0.000    0.000 textwrap.py:146(_munge_whitespace)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
      367    0.000    0.000    0.000    0.000 collections.py:375(<genexpr>)
        2    0.000    0.000    0.000    0.000 Tubs.py:1(<module>)
       67    0.000    0.000    0.001    0.000 pyparsing.py:3368(__init__)
      367    0.000    0.000    0.000    0.000 collections.py:373(<genexpr>)
        1    0.000    0.000    0.000    0.000 beamsearch.py:9(<module>)
        1    0.000    0.000    0.000    0.000 permutations.py:1(<module>)
       53    0.000    0.000    0.001    0.000 ErrorStrategy.py:197(sync)
        1    0.000    0.000    0.001    0.001 exponential.py:1(<module>)
       87    0.000    0.000    0.006    0.000 magic.py:187(magic_deco)
        1    0.000    0.000    0.000    0.000 spawnbase.py:1(<module>)
     34/5    0.000    0.000    0.000    0.000 pyparsing.py:3297(streamline)
       28    0.000    0.000    0.002    0.000 pyparsing.py:2757(__init__)
        1    0.000    0.000    0.000    0.000 indexed.py:87(<module>)
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
        1    0.000    0.000    0.000    0.000 misc.py:13(<module>)
        1    0.000    0.000    0.000    0.000 LexerAction.py:7(<module>)
        1    0.000    0.000    0.001    0.001 document.py:3(<module>)
        1    0.000    0.000    0.000    0.000 display.py:4(<module>)
      542    0.000    0.000    0.000    0.000 {method 'zfill' of 'str' objects}
      340    0.000    0.000    0.000    0.000 argparse.py:1238(register)
        2    0.000    0.000    0.000    0.000 encoding.py:4(<module>)
        7    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
       11    0.000    0.000    0.001    0.000 decorator.py:169(make)
      193    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
        1    0.000    0.000    0.002    0.002 ctx_mp_python.py:3(<module>)
        1    0.000    0.000    0.000    0.000 geom.py:1(<module>)
        1    0.000    0.000    0.001    0.001 zipfile.py:3(<module>)
       39    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
      404    0.000    0.000    0.000    0.000 pretty_symbology.py:17(U)
      237    0.000    0.000    0.000    0.000 IntervalSet.py:36(__init__)
        1    0.000    0.000    0.000    0.000 latex_symbols.py:1300(<dictcomp>)
       82    0.000    0.000    0.001    0.000 codecs.py:311(decode)
        1    0.000    0.000    0.001    0.001 _color_data.py:1(<module>)
       89    0.000    0.000    0.000    0.000 ATNConfigSet.py:93(getOrAdd)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
        1    0.000    0.000    0.000    0.000 interface.py:41(<module>)
        1    0.000    0.000    0.000    0.000 correlation.py:3(<module>)
        1    0.000    0.000    0.001    0.001 ssl.py:89(<module>)
       58    0.000    0.000    0.000    0.000 minidom.py:727(setAttributeNode)
        1    0.000    0.000    0.001    0.001 mathieu_functions.py:2(<module>)
      247    0.000    0.000    0.000    0.000 ATNConfig.py:147(checkNonGreedyDecision)
        1    0.000    0.000    1.291    1.291 core.py:309(intersect)
      123    0.000    0.000    0.001    0.000 __init__.py:1881(has_metadata)
      208    0.000    0.000    0.000    0.000 ctx_mp_python.py:1026(_wrap_specfun)
        1    0.000    0.000    0.001    0.001 registry.py:25(<module>)
        1    0.000    0.000    0.012    0.012 manualintegrate.py:18(<module>)
      919    0.000    0.000    0.000    0.000 basic.py:130(_hashable_content)
      411    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       27    0.000    0.000    0.002    0.000 pyparsing.py:1039(_trim_arity)
        1    0.000    0.000    0.000    0.000 backgroundjobs.py:23(<module>)
        1    0.000    0.000    0.000    0.000 mixing.py:4(<module>)
        1    0.000    0.000    0.000    0.000 ctx_iv.py:1(<module>)
      441    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       18    0.000    0.000    0.001    0.000 __init__.py:1327(callHandlers)
       34    0.000    0.000    0.000    0.000 utils.py:58(reverse_dict)
        1    0.000    0.000    0.001    0.001 ordinals.py:1(<module>)
        8    0.000    0.000    0.000    0.000 ATNDeserializer.py:184(readSets)
      806    0.000    0.000    0.000    0.000 {max}
       82    0.000    0.000    0.000    0.000 codecs.py:302(__init__)
    48/46    0.000    0.000    0.222    0.005 singleton.py:102(__getattr__)
      107    0.000    0.000    0.000    0.000 threading.py:114(RLock)
       83    0.000    0.000    0.001    0.000 pyparsing.py:1821(__add__)
     1396    0.000    0.000    0.000    0.000 {method 'issubset' of 'set' objects}
        1    0.000    0.000    0.000    0.000 sparse.py:1(<module>)
       86    0.000    0.000    0.001    0.000 traitlets.py:757(setup_class)
        1    0.000    0.000    0.000    0.000 perm_groups.py:25(PermutationGroup)
       19    0.000    0.000    0.000    0.000 {method 'write' of 'file' objects}
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ellipse.py:38(Ellipse)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:10(<module>)
        3    0.000    0.000    0.000    0.000 {posix.urandom}
        1    0.000    0.000    0.001    0.001 elliptic_integrals.py:1(<module>)
      208    0.000    0.000    0.000    0.000 ctx_fp.py:51(_wrap_specfun)
        1    0.000    0.000    0.000    0.000 __init__.py:59(<module>)
       34    0.000    0.000    0.000    0.000 argparse.py:255(add_argument)
        1    0.000    0.000    0.002    0.002 core.py:541(cone)
        4    0.000    0.000    0.000    0.000 ATNDeserializer.py:360(markPrecedenceDecisions)
        1    0.000    0.000    0.000    0.000 hmn.py:11(<module>)
      392    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       96    0.000    0.000    0.000    0.000 IntervalSet.py:109(__contains__)
        1    0.000    0.000    0.000    0.000 cxxcode.py:1(<module>)
        1    0.000    0.000    0.000    0.000 from_dict.py:8(<module>)
       13    0.000    0.000    0.003    0.000 LexerATNSimulator.py:127(execATN)
      339    0.000    0.000    0.000    0.000 traitlets.py:383(class_init)
       30    0.000    0.000    0.000    0.000 symbol.py:168(_sanitize)
        1    0.000    0.000    0.000    0.000 polyutils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctx_mp.py:94(init_builtins)
        1    0.000    0.000    0.000    0.000 facts.py:217(rules_2prereq)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
      171    0.000    0.000    0.000    0.000 six.py:141(__init__)
      158    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       44    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
       89    0.000    0.000    0.001    0.000 ATNConfigSet.py:68(add)
       40    0.000    0.000    0.000    0.000 locale.py:365(normalize)
       10    0.000    0.000    0.000    0.000 __init__.py:136(__new__)
        1    0.000    0.000    0.000    0.000 printing.py:1(<module>)
      317    0.000    0.000    0.000    0.000 overrides.py:111(array_function_dispatch)
        1    0.000    0.000    0.006    0.006 GdmlExpressionLexer.py:3(<module>)
     39/7    0.000    0.000    0.001    0.000 pyparsing.py:3375(parseImpl)
       22    0.000    0.000    0.004    0.000 Lexer.py:103(nextToken)
      116    0.000    0.000    0.000    0.000 minidom.py:358(_get_localName)
       65    0.000    0.000    0.000    0.000 RuleContext.py:36(__init__)
        1    0.000    0.000    0.000    0.000 polygon.py:1(<module>)
        1    0.000    0.000    0.008    0.008 pyparsing.py:5399(pyparsing_common)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        1    0.000    0.000    0.001    0.001 miscellaneous.py:1(<module>)
        1    0.000    0.000    0.000    0.000 latex.py:3(<module>)
        1    0.000    0.000    0.000    0.000 getargspec.py:10(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 fu.py:187(<module>)
      158    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.000    0.000 zetazeros.py:16(<module>)
        1    0.000    0.000    0.000    0.000 input_processor.py:8(<module>)
      151    0.000    0.000    0.000    0.000 libintmath.py:345(ifac)
        2    0.000    0.000    0.000    0.000 __init__.py:153(__new__)
       23    0.000    0.000    0.002    0.000 pyparsing.py:1016(_trim_arity)
    82/80    0.000    0.000    0.000    0.000 pyparsing.py:372(__init__)
        1    0.000    0.000    0.000    0.000 integers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
